FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput, Bugs
begin_unwind_frame,bash-3.2\unwind_prot.c,6,1,1,0,0,14,1, 0
discard_unwind_frame,bash-3.2\unwind_prot.c,7,2,2,1,0,12,1, 0
run_unwind_frame,bash-3.2\unwind_prot.c,7,2,2,1,0,8,1, 0
add_unwind_protect,bash-3.2\unwind_prot.c,7,1,1,0,0,16,1, 0
remove_unwind_protect,bash-3.2\unwind_prot.c,7,2,2,1,0,2,1, 0
run_unwind_protects,bash-3.2\unwind_prot.c,7,2,2,1,0,2,1, 0
clear_unwind_protect_list,bash-3.2\unwind_prot.c,12,2,3,1,0,3,1, 0
unwind_protect_mem,bash-3.2\unwind_prot.c,7,1,1,0,0,7,1, 0
xfree,bash-3.2\lib\readline\xmalloc.c,7,2,2,1,0,5,1, 0
tilde_find_suffix,bash-3.2\lib\readline\tilde.c,20,7,5,3,8,3,3, 0
memory_error_and_abort,bash-3.2\builtins\mkbuiltins.c,6,1,1,0,0,2,2, 0
restore_sigint_handler,bash-3.2\jobs.c,9,2,2,1,0,4,2, 0
isolate_tilde_prefix,bash-3.2\lib\readline\tilde.c,15,4,3,1,0,3,4, 0
strchr,bash-3.2\lib\sh\oslib.c,11,3,3,2,3,46,1, 0
xmalloc,bash-3.2\lib\termcap\termcap.c,9,2,2,1,0,3,3, 0
free,bash-3.2\lib\malloc\malloc.c,6,1,1,0,0,285,1, 0
malloc,bash-3.2\lib\malloc\malloc.c,6,1,1,0,0,41,2, 0
realloc,bash-3.2\lib\malloc\malloc.c,7,1,1,0,0,16,2, 0
libintl_dngettext,bash-3.2\lib\intl\dngettext.c,9,1,1,0,0,5,2, 0
libintl_dcngettext,bash-3.2\lib\intl\dcngettext.c,10,1,1,0,0,8,2, 0
stpcpy,bash-3.2\lib\intl\dcigettext.c,9,2,2,1,0,3,1, 0
template_builtin,bash-3.2\examples\loadables\template.c,18,2,2,2,1,2,4, 0
reset_internal_getopt,bash-3.2\builtins\bashgetopt.c,6,1,1,0,0,17,4, 0
internal_getopt,bash-3.2\builtins\bashgetopt.c,97,122,19,3,22,25,13, 0
builtin_usage,bash-3.2\builtins\common.c,8,2,2,1,0,28,2, 0
set_deftext,bash-3.2\lib\readline\examples\rl.c,11,2,2,1,0,1,4, 0
rl_insert_text,bash-3.2\lib\readline\text.c,29,13,7,2,2,25,10, 0
kill_pid,bash-3.2\jobs.c,60,22,11,5,6,14,9, 0
strrchr,bash-3.2\lib\sh\oslib.c,11,3,3,2,0,20,1, 0
readline,bash-3.2\lib\readline\readline.c,21,5,4,1,1,10,7, 0
_rl_copy_to_kill_ring,bash-3.2\lib\readline\kill.c,58,15,7,4,5,9,10, 0
region_kill_internal,bash-3.2\lib\readline\kill.c,15,3,3,2,0,6,5, 0
_rl_copy_word_as_kill,bash-3.2\lib\readline\kill.c,21,4,3,1,2,6,6, 0
rl_yank_nth_arg_internal,bash-3.2\lib\readline\kill.c,39,15,7,2,2,8,12, 0
