FunctionName, u1, u2, N1, N2, N, V, D, E, L, T
begin_unwind_frame,6,5,10,7,17,58.8103375168341,12.3683972523168,727.389616951033,0.080851219410234,40.4105342750574
discard_unwind_frame,7,6,14,8,22,81.409673799104,17.1212618094671,1393.83633893778,0.0584069101406447,77.4353521632099
run_unwind_frame,7,6,14,8,22,81.409673799104,17.1212618094671,1393.83633893778,0.0584069101406447,77.4353521632099
add_unwind_protect,6,6,15,10,25,89.6240625180289,11.2030078147536,1004.05907277944,0.0892617426083615,55.781059598858
remove_unwind_protect,7,5,14,6,20,71.6992500144231,15.0790633809528,1081.15753533426,0.066317116304661,60.0643075185703
run_unwind_protects,7,5,14,6,20,71.6992500144231,15.0790633809528,1081.15753533426,0.066317116304661,60.0643075185703
clear_unwind_protect_list,11,8,24,13,37,157.173317997413,33.055107597372,5195.38093784043,0.0302525108125652,288.632274324469
unwind_protect_mem,8,5,16,9,25,92.5109929535273,11.5638741191909,1069.78547715595,0.0864762094167423,59.4325265086637
xfree,4,4,7,7,14,42,8.8330165500004,370.986695100017,0.113211607194368,20.6103719500009
tilde_find_suffix,23,23,188,99,287,1585.26228138836,198.157785173545,314132.06259908,0.0050464835339384,17451.7812555044
memory_error_and_abort,14,12,75,32,107,502.947049841097,105.774752738578,53199.0998375394,0.00945405188014473,2955.50554652997
restore_sigint_handler,49,439,3522,2571,6093,54414.9825977707,11444.0105203355,622725633.312762,8.73819539245478e-005,34595868.5173757
isolate_tilde_prefix,30,44,410,252,662,4110.65812804637,354.072818800685,1455472.31052332,0.00282427779513604,80859.5728068513
strchr,15,5,33,15,48,207.452548554593,17.8689899150092,3706.96749796498,0.0559628722583835,205.942638775832
xmalloc,11,5,17,9,26,104,13,1352,0.0769230769230769,75.1111111111111
free,6,6,11,9,20,71.6992500144231,15.0790633809528,1081.15753533426,0.066317116304661,60.0643075185703
malloc,7,6,12,9,21,77.7092340809629,16.3430226363095,1270.00377163545,0.0611881915759135,70.5557650908586
realloc,7,8,15,13,28,109.392936677039,13.6741170846298,1495.85182435332,0.0731308642313759,83.10287913074
libintl_dngettext,11,7,28,15,43,179.306775062019,9.12433742489326,1636.0555182353,0.109596999040366,90.8919732352945
libintl_dcngettext,11,8,32,18,50,212.396375672179,8.8498489863408,1879.6758499449,0.112996278415986,104.42643610805
stpcpy,53,276,1876,1333,3209,26833.4775699164,2311.30995219024,62020483.7592213,0.000432655083344569,3445582.43106785
template_builtin,14,13,35,20,55,261.518812618991,32.6898515773739,8549.01116920585,0.0305905335064949,474.945064955881
reset_internal_getopt,5,8,10,8,18,66.6079149265397,14.0083051168368,933.063995487273,0.0713862235052325,51.8368886381818
internal_getopt,22,37,363,250,613,3606.06018925881,310.609118103094,1120075.17521236,0.00321948050368595,62226.3986229087
builtin_usage,8,9,17,14,31,126.711348078761,26.6486532060132,3376.68677221731,0.0375253485521119,187.593709567629
set_deftext,8,7,18,10,28,109.392936677039,13.6741170846298,1495.85182435332,0.0731308642313759,83.10287913074
rl_insert_text,27,23,92,67,159,897.373134174181,112.171641771773,100659.817742199,0.00891490918921046,5592.21209678884
kill_pid,26,37,164,127,291,1739.38845773848,112.147884624582,195068.736075783,0.0089167977028504,10837.1520042102
strrchr,15,6,36,19,55,241.577458252832,20.8083496456897,5026.82821784193,0.0480576315290407,279.268234324552
readline,10,16,49,23,72,338.431659706159,42.3039574632698,14316.9985364331,0.0236384503948181,795.388807579619
_rl_copy_to_kill_ring,25,29,193,103,296,1703.44670064039,146.726912378656,249941.474786572,0.00681538228937385,13885.6374881429
region_kill_internal,29,63,580,374,954,6223.47810607839,777.934763259799,4841459.96710463,0.001285454831469,268969.99817248
_rl_copy_word_as_kill,32,71,657,437,1094,7315.03157673844,630.08252433358,4609073.5614512,0.00158709369230272,256059.642302845
rl_yank_nth_arg_internal,34,96,874,581,1455,10217.5451679564,658.78100521161,6731124.67654135,0.00151795512027367,373951.370918964
rl_set_retained_kills,5,3,6,4,10,30,3.75,112.5,0.266666666666667,6.25
rl_kill_text,13,9,32,23,55,245.268739025051,21.1262992652621,5181.6207810567,0.0473343668687065,287.867821169817
rl_copy_text,15,11,39,28,67,314.929461115453,27.1265472698224,8542.94891360803,0.0368642566285049,474.608272978224
rl_delete_text,21,16,75,58,133,692.85729762865,59.6794792357479,41349.3627071655,0.0167561783850319,2297.18681706475
rl_kill_word,13,12,39,28,67,311.138364714907,26.8,8338.50817435949,0.0373134328358209,463.250454131083
rl_backward_kill_word,13,12,37,26,63,292.562939955808,25.2,7372.58608688635,0.0396825396825397,409.588115938131
rl_forward_word,14,14,94,68,162,778.791497373332,67.0814483091141,52242.4615746267,0.0149072511880179,2902.35897636815
rl_backward_word,16,13,87,62,149,723.839168274008,62.3481123181915,45130.0057638542,0.0160389779709213,2507.22254243634
rl_kill_line,12,13,38,28,66,306.494508525132,26.4,8091.45502506348,0.0378787878787879,449.525279170193
rl_backward_kill_line,13,14,43,28,71,337.597012653606,29.079023885103,9816.99159449363,0.034389049782111,545.388421916313
rl_end_of_line,7,6,10,8,18,66.6079149265397,5.7372935082015,382.149157902874,0.174298211965362,21.2305087723819
rl_ding,12,15,41,18,59,280.538362627645,35.0672953284556,9837.72161322498,0.0285165990314783,546.54008962361
rl_beg_of_line,7,5,10,8,18,64.5293250129808,5.55825351827798,358.670347785504,0.179912628438332,19.926130432528
rl_kill_full_line,7,10,19,15,34,138.973736602512,11.9705461085136,1663.59152187279,0.0835383775255489,92.421751215155
rl_begin_undo_group,6,5,11,8,19,65.7292007541087,8.21615009426358,540.04097897174,0.121711505818058,30.0022766095411
rl_end_undo_group,6,5,11,8,19,65.7292007541087,8.21615009426358,540.04097897174,0.121711505818058,30.0022766095411
rl_unix_word_rubout,16,14,54,37,91,446.527044200375,38.4617460965807,17174.2097992915,0.0259998596394692,954.122766627305
rl_unix_filename_rubout,18,16,70,50,120,610.495540950041,52.5852236591036,32103.0445637433,0.0190167490107628,1783.50247576352
rl_unix_line_discard,10,10,25,18,43,185.842908080157,16.0076367988624,2974.90577419151,0.0624701829861025,165.272543010639
rl_copy_region_to_kill,6,5,10,7,17,58.8103375168341,5.06564674817693,297.912395001338,0.197408159256247,16.5506886111854
rl_kill_region,10,10,24,20,44,190.164836175044,16.3799074220917,3114.88241148446,0.0610504061000547,173.049022860248
_rl_fix_point,5,5,10,8,18,59.7947057079725,12.5754196457363,751.943516871059,0.0795202091199437,41.7746398261699
rl_copy_forward_word,9,7,20,13,33,132,11.3698611331376,1500.82166957416,0.0879518217760364,83.3789816430089
rl_copy_backward_word,9,7,21,13,34,136,11.7144023795963,1593.1587236251,0.085365003488506,88.508817979172
rl_yank,10,11,22,15,37,162.515744642814,13.9983443071003,2274.95134883491,0.0714370198404659,126.386186046384
_rl_abort_internal,8,16,26,16,42,192.568425030289,24.0710531287861,4635.32478983073,0.0415436746639108,257.518043879485
_rl_set_mark_at_pos,9,6,14,9,23,89.8584836989959,11.2323104623745,1009.31838658534,0.0890288781947184,56.0732436991855
rl_yank_pop,19,18,67,46,113,588.668230316071,50.7051214559362,29848.4941154274,0.0197218736744181,1658.2496730793
where_history,4,2,5,2,7,18.0947375050481,2.26184218813101,40.9274406720743,0.442117493982333,2.27374670400413
previous_history,9,5,10,6,16,60.9176787529217,7.61470984411521,463.87044808052,0.131324767518597,25.7705804489178
history_set_pos,11,7,19,12,31,129.267675044712,16.158459380589,2088.76647643315,0.0618870881466146,116.042582024064
history_arg_extract,24,21,162,113,275,1510.25960149066,97.3746944149304,147061.067182368,0.0102696086083601,8170.05928790931
rl_vi_append_mode,6,8,15,12,27,102.798582895555,8.85458797125603,910.23909556915,0.1129358026874,50.5688386427305
rl_yank_nth_arg,6,5,12,9,21,72.6480639913833,6.25756363010091,454.599883029723,0.1598066051122,25.2555490572069
rl_yank_last_arg,15,16,77,53,130,644.045520350294,55.4750615894104,35728.4649078164,0.0180261178870127,1984.91471710091
rl_do_undo,24,31,122,81,203,1173.61602184551,146.702002730688,172171.820841559,0.00681653952492915,9565.10115786438
strerror,17,10,36,19,55,261.518812618991,32.6898515773739,8549.01116920585,0.0305905335064949,474.945064955881
strgrow,13,12,31,17,48,222.905097109187,19.2,4279.77786449639,0.0520833333333333,237.765436916466
stralloc,13,10,25,13,38,171.895354330167,21.4869192912708,3693.50160503669,0.046539943043685,205.194533613149
strduplicate,8,6,15,10,25,95.1838730514401,11.89798413143,1132.49621113408,0.0840478512119019,62.9164561741157
strmaxcpy,13,8,26,18,44,193.261966602265,12.4606557186258,2408.17082933538,0.0802525984652022,133.78726829641
strmaxcat,17,10,41,29,70,332.842125151443,21.460151746791,7142.84251347438,0.0465979929591845,396.82458408191
